ticker,fyear,current_ratio,quick_ratio,cash_ratio,receivables_turnover,inventory_turnover,payables_turnover,total_asset_turnover,fixed_asset_turnover,days_sales_outstanding,days_inventory_outstanding,debt_ratio,debt_to_equity,equity_multiplier,times_interest_earned,gross_margin,operating_margin,net_margin,roa
BA,2015,1.4049924325669148,0.3746397694524496,0.21439678228598677,11.207530081511191,,6.868660354363926,0.9322219950280346,7.869810120832198,32.567389723283654,,,,10.723716099249856,,0.15417383373930713,0.07575355275157868,0.052930514990245085,0.04934299028206756
BA,2016,1.3535269380306276,0.35311037054669525,0.1802745378084583,11.04026274175891,,7.150696417757488,0.9690117387056996,7.863969154789239,33.060807386351115,,,,14.9026045777427,,0.15435975408210484,0.08233622000396641,0.06000308499151627,0.05814369371533505
BA,2017,1.2464195954841026,0.4102006622252364,0.2340327921171261,10.956283841550299,,7.46593906321055,1.0424229277947994,7.725274283647471,33.31421541086626,,,,110.15544675642595,,0.1459308737540837,0.07743929084212497,0.05385271656574484,0.05613730647216724
BA,2018,1.1412763905262029,0.15666863144357518,0.11790001071696496,15.946784922394679,,6.756668946648427,0.9240607039963629,7.339063542525217,22.888626251390434,,,,67.85144927536231,,0.1547659792932318,0.069810473175323,0.05384187558826046,0.04975316146057255
BA,2019,1.0764799607795073,0.15555827920088247,0.10801568819708297,27.758747969880407,,6.100167210765188,0.8184275708359271,7.4262353359402775,13.149008031487687,,,,346.19174041297936,,0.18502207329397372,0.11003670017552258,0.08997393755651295,0.07363715115292029
BA,2020,1.050528197961197,0.1120416803682999,0.07847952975994739,28.307067879636108,,5.724823492219607,0.8058441972396647,8.042867936533185,12.894306169470072,,1.062114125350795,-16.470349309504467,-15.507137054659394,,0.19418157366479774,0.11853412046238888,0.10343429548982962,0.08335192681605202
BA,2021,1.393698441796517,0.1310724106324473,0.10867323556370302,29.32733192874928,,5.062532916681296,0.5358253925483184,6.295452676589096,12.445728131245184,,1.1188081716359046,-9.293022493994322,-8.306180388731164,,0.05833409527292676,-0.025797097663240117,-0.0083073185386434,-0.004451272216992522
BA,2022,1.325324421894819,0.12675626890428335,0.09454580934725339,25.30809399477807,,5.754472937040876,0.40014035667107,5.11548948896121,14.422263489115856,,1.1071511057220393,-10.227215147676512,-9.237415827721849,,-0.0977509542969153,-0.21952267959696,-0.20415076171807833,-0.08168895860854249
BA,2023,1.2162195176120463,0.11736552214276195,0.08941500466397193,24.151221403644822,,6.08776527413802,0.45191763527926515,5.802683063163778,15.113107279324408,,1.1155944566010212,-9.629666939495058,-8.631870553421898,,0.04895161031371416,-0.046077770285457405,-0.06746299328902161,-0.03048771639603558
BA,2024,1.14033623091613,0.1801475575777182,0.1525039915681384,25.78706929926442,,5.691932864103952,0.485991127714219,6.280514827212295,14.154380855152535,,1.1257408110238518,-8.950269831137932,-7.950559972146463,,0.05299663704059573,-0.05283149171270718,-0.0740901993754504,-0.036007179547046464
